text,label
Kann ich meinen Abschlag reduzieren? Aktuell zahle ich 210 EUR pro Monat. Bitte um kurze Rückmeldung.,Abschlag
"Bitte erhöhen Sie meinen Abschlag, da mein Verbrauch gestiegen ist.",Abschlag
"Hallo, bei mir gibt es einen Stromausfall in Frankfurt. Was kann ich tun?",Technik
Kann ich meinen Vertrag auf eine andere Person übertragen (z.B. bei Preis)? Danke!,Vertrag
"Ich habe eine Mahnung erhalten, aber ich habe bereits bezahlt. Betrag: 135 EUR.",Rechnung
"Ich habe eine Störung gemeldet, aber keine Rückmeldung erhalten. Können Sie den Status prüfen?",Technik
Bitte senden Sie mir eine detaillierte Erklärung zur Rechnung für Juni. Danke!,Rechnung
Welche Fristen gelten für eine Kündigung und wann ist der nächstmögliche Termin?,Vertrag
Ich habe flackerndes Licht und Spannungsschwankungen. An wen kann ich mich wenden?,Technik
Ich vermute einen falschen Zählerstand auf der Rechnung. Zähler-ID: Z-340771. Können Sie helfen?,Rechnung
Die App erkennt meinen Vertrag nicht. Vertragsnummer: VK-77801.,Technik
Ich möchte meine Vertragsdaten aktualisieren. Wo kann ich das über das Portal machen? Danke!,Vertrag
Bitte bestätigen Sie mir schriftlich die Vertragskündigung.,Vertrag
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren. Vielen Dank.,Abschlag
Ich möchte meine Vertragsdaten aktualisieren. Wo kann ich das online machen? Vielen Dank.,Vertrag
Ich habe Fragen zu Vertragslaufzeit und Preisgarantie. Können Sie mir das erklären? Danke!,Vertrag
"Kann ich eine einmalige Sonderzahlung leisten, um den Abschlag zu stabilisieren?",Abschlag
Warum wurden zusätzliche Gebühren berechnet? Bitte erklären Sie die Positionen auf der Rechnung.,Rechnung
Ich habe einen neuen Zähler erhalten. Wie erfolgt die Inbetriebnahme?,Technik
Ich habe Fragen zu Vertragslaufzeit und Preisgarantie. Können Sie mir das erklären?,Vertrag
Wie lange läuft mein Vertrag noch? Vertragsnummer: VK-10293.,Vertrag
"Guten Tag, meine Stromrechnung ist diesen Juni ungewöhnlich hoch. Können Sie das prüfen? Können Sie helfen?",Rechnung
Warum ist meine Rechnung höher als erwartet? Ich habe meinen Verbrauch nicht erhöht.,Rechnung
Wie kann ich einen technischen Defekt melden und wie lange dauert die Bearbeitung?,Technik
"Kann ich eine einmalige Sonderzahlung leisten, um den Abschlag zu stabilisieren?",Abschlag
"Ich möchte den Zählerstand melden, aber das Portal zeigt einen Fehler.",Technik
Ich habe eine neue Person im Haushalt. Können wir den Abschlag neu berechnen?,Abschlag
Ich habe einen neuen Zähler erhalten. Wie erfolgt die Inbetriebnahme? Können Sie helfen?,Technik
Ich habe einen neuen Zähler erhalten. Wie erfolgt die Inbetriebnahme?,Technik
"Ich habe eine Mahnung erhalten, aber ich habe bereits bezahlt. Betrag: 210 EUR.",Rechnung
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
"Ich habe eine Störung gemeldet, aber keine Rückmeldung erhalten. Können Sie den Status prüfen?",Technik
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
Wie kann ich einen technischen Defekt melden und wie lange dauert die Bearbeitung?,Technik
Wie lange läuft mein Vertrag noch? Vertragsnummer: VK-45012. Bitte um kurze Rückmeldung.,Vertrag
Ich habe eine neue Person im Haushalt. Können wir den Abschlag neu berechnen? Können Sie helfen?,Abschlag
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
Warum ist meine Rechnung höher als erwartet? Ich habe meinen Verbrauch nicht erhöht.,Rechnung
"Ich habe eine Störung gemeldet, aber keine Rückmeldung erhalten. Können Sie den Status prüfen? Können Sie helfen?",Technik
Ich habe flackerndes Licht und Spannungsschwankungen. An wen kann ich mich wenden? Bitte um kurze Rückmeldung.,Technik
Wie lange läuft mein Vertrag noch? Vertragsnummer: VK-77801.,Vertrag
Ich habe einen neuen Zähler erhalten. Wie erfolgt die Inbetriebnahme? Vielen Dank.,Technik
Mein Zähler funktioniert nicht / zeigt nichts mehr an. Zähler-ID: Z-771204.,Technik
Warum wurden zusätzliche Gebühren berechnet? Bitte erklären Sie die Positionen auf der Rechnung.,Rechnung
"Ich habe eine Mahnung erhalten, aber ich habe bereits bezahlt. Betrag: 72 EUR.",Rechnung
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
Bitte bestätigen Sie mir schriftlich die Vertragskündigung.,Vertrag
"Ich glaube, ich habe eine Doppelabbuchung. Können Sie die Rechnung und Zahlung überprüfen?",Rechnung
Ich möchte von meinem Sonderkündigungsrecht wegen Preis Gebrauch machen.,Vertrag
Warum wurden zusätzliche Gebühren berechnet? Bitte erklären Sie die Positionen auf der Rechnung. Vielen Dank.,Rechnung
Ich möchte meine Vertragsdaten aktualisieren. Wo kann ich das über das Portal machen?,Vertrag
Ich habe Fragen zu Vertragslaufzeit und Preisgarantie. Können Sie mir das erklären?,Vertrag
Ich habe eine neue Person im Haushalt. Können wir den Abschlag neu berechnen?,Abschlag
"Hallo Team, bei mir gibt es einen Stromausfall in Friedberg. Was kann ich tun?",Technik
"Kann ich eine einmalige Sonderzahlung leisten, um den Abschlag zu stabilisieren?",Abschlag
Wie kann ich einen technischen Defekt melden und wie lange dauert die Bearbeitung? Danke!,Technik
Ich bin umgezogen nach Darmstadt. Wie melde ich die neue Adresse und den Einzug?,Vertrag
Bitte senden Sie mir eine detaillierte Erklärung zur Rechnung für Juni.,Rechnung
Ich möchte den Abbuchungstermin für den Abschlag ändern. Ist das möglich?,Abschlag
Welche Fristen gelten für eine Kündigung und wann ist der nächstmögliche Termin?,Vertrag
Warum wurden zusätzliche Gebühren berechnet? Bitte erklären Sie die Positionen auf der Rechnung.,Rechnung
Mein Zähler funktioniert nicht / zeigt nichts mehr an. Zähler-ID: Z-771204.,Technik
"Bitte erhöhen Sie meinen Abschlag, da mein Verbrauch gestiegen ist.",Abschlag
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
Können Sie mir eine Rechnungskopie zusenden? Vertragsnummer: VK-45012.,Rechnung
Ich möchte den Abbuchungstermin für den Abschlag ändern. Ist das möglich?,Abschlag
"Ich habe eine Störung gemeldet, aber keine Rückmeldung erhalten. Können Sie den Status prüfen? Können Sie helfen?",Technik
Warum ist meine Rechnung höher als erwartet? Ich habe meinen Verbrauch nicht erhöht.,Rechnung
Ich bin umgezogen nach Frankfurt. Wie melde ich die neue Adresse und den Einzug? Bitte um kurze Rückmeldung.,Vertrag
"Ich habe den Tarif gewechselt und möchte verstehen, wie die Rechnung berechnet wurde.",Rechnung
Ich habe einen neuen Zähler erhalten. Wie erfolgt die Inbetriebnahme?,Technik
"Bitte erhöhen Sie meinen Abschlag, da mein Verbrauch gestiegen ist.",Abschlag
"Hallo Team, meine Stromrechnung ist diesen April ungewöhnlich hoch. Können Sie das prüfen?",Rechnung
Ich möchte meinen Abschlag auf Basis aktueller Zählerstände aktualisieren.,Abschlag
Ich möchte meine Vertragsdaten aktualisieren. Wo kann ich das telefonisch machen?,Vertrag
Ich möchte von meinem Sonderkündigungsrecht wegen Doppelzahlung Gebrauch machen. Danke!,Vertrag
Ich bin umgezogen nach Hanau. Wie melde ich die neue Adresse und den Einzug?,Vertrag
Warum ist meine Rechnung höher als erwartet? Ich habe meinen Verbrauch nicht erhöht. Bitte um kurze Rückmeldung.,Rechnung
Warum wurden zusätzliche Gebühren berechnet? Bitte erklären Sie die Positionen auf der Rechnung.,Rechnung
Wie wird der Abschlag berechnet und wann wird er angepasst?,Abschlag
